 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,24110,2,2,56,568,28,28,28.0,0.0,284,284,284.0,0.0,25881.37702,165.906263,8036.666667,13914.71884,24104,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,82.95313148,82.95313148,28,284,130.4,140.2169747,19660.8,0,0,0,0,0,0,0,0,1,163.0,28.0,284.0,40,0,0,0,0,0,0,2,56,2,568,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,178,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,516853.9326,22471.91011,59.33333333,101.9035492,177,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,64,64,11235.95506,11235.95506,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4101907,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,41.20034901,1.462734284,820381.4,1790816.638,4023665,3,4101907,1025476.75,1998901.398,4023665,3,0,0.0,0.0,0,0,1,0,0,0,160,32,1.218945237,0.243789047,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,296,191,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53373,67,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,179104.4776,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14925.37313,14925.37313,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1047,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,190,2,2,68,250,34,34,34.0,0.0,125,125,125.0,0.0,1673684.211,21052.63158,63.33333333,103.6355795,183,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,10526.31579,10526.31579,34,125,70.4,49.84275273,2484.3,0,0,0,0,0,0,0,0,1,88.0,34.0,125.0,64,0,0,0,0,0,0,2,68,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,81,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,148148.1481,24691.35802,81.0,0.0,81,81,81,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0,0,0,40,0,24691.35802,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,64209,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,168,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,952380.9524,23809.52381,56.0,57.41950888,117,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,64,11904.7619,11904.7619,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,1994673,7,6,1589,1086,1021,0,227.0,398.252014,949,0,181.0,380.2115201,1341.071945,6.517358986,166222.75,562481.9156,1952003,18,42670,7111.666667,16462.75527,40711,124,1994424,398884.8,889758.58,1990533,511,0,0,0,0,232,200,3.509347146,3.00801184,0,1021,191.0714286,363.803088,132352.6868,0,0,0,1,0,0,0,0,0,205.7692308,227.0,181.0,232,0,0,0,0,0,0,7,1589,6,1086,29200,8,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,54899,2,2,64,160,32,32,32.0,0.0,80,80,80.0,0.0,4080.22004,72.86107215,18299.66667,31613.68002,54804,47,47,47.0,0.0,47,47,48,48.0,0.0,48,48,0,0,0,0,40,40,36.43053608,36.43053608,32,80,51.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,64.0,32.0,80.0,40,0,0,0,0,0,0,2,64,2,160,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,50280,2,2,66,328,33,33,33.0,0.0,164,164,164.0,0.0,7836.117741,79.55449483,16760.0,29025.70745,50276,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,39.77724741,39.77724741,33,164,85.4,71.75165503,5148.3,0,0,0,0,0,0,0,0,1,106.75,33.0,164.0,64,0,0,0,0,0,0,2,66,2,328,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1166,2,2,82,206,41,41,41.0,0.0,103,103,103.0,0.0,246998.2847,3430.531732,388.6666667,668.8619688,1161,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,88,88,1715.265866,1715.265866,41,103,65.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,82.25,41.0,103.0,88,0,0,0,0,0,0,2,82,2,206,-1,-1,1,44,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24093,1,1,38,100,38,38,38.0,0.0,100,100,100.0,0.0,5727.804757,83.01166314,24093.0,0.0,24093,24093,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.50583157,41.50583157,38,100,58.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,88.0,38.0,100.0,20,0,0,0,0,0,0,1,38,1,100,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,431,2,2,68,690,34,34,34.0,0.0,345,345,345.0,0.0,1758700.696,9280.742459,143.6666667,207.7362109,382,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,40,40,4640.37123,4640.37123,34,345,158.4,170.3417154,29016.3,0,0,0,0,0,0,0,0,1,198.0,34.0,345.0,40,0,0,0,0,0,0,2,68,2,690,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,34335,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,349.4975972,58.24959953,34335.0,0.0,34335,34335,34335,34335.0,0.0,34335,34335,0,0.0,0.0,0,0,0,0,0,0,40,0,58.24959953,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5912063,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.676582777,1970687.667,3392909.826,5888459,58,5912063,2956031.5,4147078.741,5888459,23604,0,0.0,0.0,0,0,0,0,0,0,104,40,0.507437082,0.169145694,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5282962,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.757151007,1760987.333,3029654.792,5259305,69,5282962,2641481.0,3702162.205,5259305,23657,0,0.0,0.0,0,0,0,0,0,0,104,40,0.567863255,0.189287752,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
0,117792764,144,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.222485958,823725.6224,2317839.316,12400000,0,118000000,823725.6224,2317839.316,12400000,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.222485958,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,144,0,0,0,-1,-1,0,0,2661484.9,2576534.457,6122806,14,8477790.3,2484634.76,12400000,5672029,BENIGN
443,5134794,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,32.91271276,1.168498678,1026958.8,2267391.732,5082902,4,5134794,1283698.5,2532848.446,5082902,4,0,0.0,0.0,0,0,1,0,0,0,160,32,0.973748898,0.19474978,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,1444,357,2,32,37173.0,0.0,37173,37173,5082902.0,0.0,5082902,5082902,BENIGN
43662,49,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,632653.0612,61224.4898,24.5,33.23401872,48,1,49,24.5,33.23401872,48,1,0,0.0,0.0,0,0,0,0,0,0,96,0,61224.4898,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,96,0,0,0,0,0,0,3,31,0,0,939,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115962294,25,20,2805,5405,1263,0,112.2,314.8356714,1418,0,270.25,517.2213081,70.79887537,0.388057173,2635506.682,4368784.223,10000000,1,116000000,4831762.25,4994903.136,10100000,1,111000000,5841057.842,5069402.821,10100000,2,0,0,0,0,808,648,0.215587318,0.172469855,0,1418,178.4782609,415.5818272,172708.2551,0,0,0,1,0,0,0,0,0,182.4444444,112.2,270.25,808,0,0,0,0,0,0,25,2805,20,5405,29200,383,5,32,80916.63636,145590.0481,519887,36802,10000000.0,17084.92709,10000000,9960002,BENIGN
443,175931,8,5,514,4132,194,0,64.25,77.50898565,1430,0,826.4,754.6368663,26408.08044,73.89260562,14660.91667,20986.88728,64772,14,175931,25133.0,22622.5438,64772,67,102725,25681.25,50838.87582,101939,47,0,0,0,0,172,112,45.47237269,28.42023293,0,1430,331.8571429,570.145846,325066.2857,0,0,0,1,0,0,0,0,0,357.3846154,64.25,826.4,172,0,0,0,0,0,0,8,514,5,4132,8192,343,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52974,54,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,222222.2222,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,18518.51852,18518.51852,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,335,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,16703883,2,0,234,0,117,117,117.0,0.0,0,0,0.0,0.0,14.00871881,0.119732639,16700000.0,0.0,16700000,16700000,16700000,16700000.0,0.0,16700000,16700000,0,0.0,0.0,0,0,1,0,0,0,64,0,0.119732639,0.0,117,117,117.0,0.0,0.0,0,1,0,0,1,1,0,0,0,175.5,117.0,0.0,64,0,0,0,0,0,0,2,234,0,0,330,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
42928,21,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,47619.04762,47619.04762,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1006,929,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,62083784,22,30,16772,11721,1966,0,762.3636364,903.9052071,1601,0,390.7,518.426941,458.9443195,0.837577813,1217329.098,3225207.08,9999686,66,62100000,2956370.667,4567960.914,10100000,191,62000000,2139049.241,4106088.931,10100000,206,0,0,0,0,452,672,0.354359844,0.483217969,0,1966,537.6037736,720.5764076,519230.3592,0,0,0,1,0,0,0,0,1,547.9423077,762.3636364,390.7,452,0,0,0,0,0,0,22,16772,30,11721,8192,238,21,20,388225.3333,825904.5943,2074096,50891,9959057.333,78244.15674,9999686,9801586,BENIGN
443,237241,10,7,591,5672,201,0,59.1,75.37970549,1460,0,810.2857143,691.9079212,26399.31546,71.65709131,14827.5625,33036.64261,133038,3,237241,26360.11111,50443.18435,158207,3,61286,10214.33333,14429.57888,32851,48,0,0,0,0,212,152,42.15123018,29.50586113,0,1460,347.9444444,562.3088404,316191.232,0,0,0,1,0,0,0,0,0,368.4117647,59.1,810.2857143,212,0,0,0,0,0,0,10,591,7,5672,8192,946,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,102868018,2,2,95,582,50,45,47.5,3.535533906,356,226,291.0,91.92388155,6.581248605,0.038884778,34300000.0,59300000.0,103000000,46976,103000000,103000000.0,0.0,103000000,103000000,103000000,103000000.0,0.0,103000000,103000000,0,0,0,0,60,52,0.019442389,0.019442389,45,356,144.4,141.5143102,20026.3,0,0,0,0,0,0,0,0,1,180.5,47.5,291.0,60,0,0,0,0,0,0,2,95,2,582,-1,-1,1,20,46976.0,0.0,46976,46976,103000000.0,0.0,103000000,103000000,BENIGN
123,30404,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3157.479279,65.78081831,30404.0,0.0,30404,30404,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.89040916,32.89040916,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,46,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,260869.5652,43478.26087,46.0,0.0,46,46,46,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0,0,0,40,0,43478.26087,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,16425,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5984967,10,7,356,5036,199,0,35.6,69.73314213,1448,0,719.4285714,683.5309935,900.9239316,2.840450081,374060.4375,1330528.326,5355491,17,5984967,664996.3333,1761732.896,5355491,17,396347,66057.83333,101578.6073,202626,49,0,0,0,0,328,232,1.670852989,1.169597092,0,1448,299.5555556,535.0956179,286327.3203,0,0,0,1,0,0,0,0,0,317.1764706,35.6,719.4285714,328,0,0,0,0,0,0,10,356,7,5036,29200,118,3,32,629459.0,0.0,629459,629459,5355491.0,0.0,5355491,5355491,BENIGN
53,160,2,2,86,204,43,43,43.0,0.0,102,102,102.0,0.0,1812500.0,25000.0,53.33333333,87.17989065,154,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,12500.0,12500.0,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,83.25,43.0,102.0,64,0,0,0,0,0,0,2,86,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,25900,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,12509.65251,154.4401544,8633.333333,14946.44377,25892,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,77.22007722,77.22007722,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,187939,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,20666.28002,63.85050469,17085.36364,33803.06801,85453,38,187939,31323.16667,44216.91989,91043,584,91741,22935.25,42051.78068,85894,48,0,0,0,0,152,112,37.24612773,26.60437695,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57398,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.6667,0.0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,22766,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,527.1018185,87.85030308,22766.0,0.0,22766,22766,22766,22766.0,0.0,22766,22766,0,0.0,0.0,0,0,0,0,0,0,40,0,87.85030308,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,85087,3,4,86,7,86,0,28.66666667,49.65212315,7,0,1.75,3.5,1092.998931,82.2687367,14181.16667,21753.64388,42331,0,42886,21443.0,29643.33048,42404,482,42756,14252.0,24681.72409,42752,0,0,0,0,0,108,136,35.25803002,47.01070669,0,86,11.625,30.15169979,909.125,0,0,0,1,0,0,0,0,1,13.28571429,28.66666667,1.75,108,0,0,0,0,0,0,3,86,4,7,65535,22,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,83508,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23.94980122,83508.0,0.0,83508,83508,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11.97490061,11.97490061,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,251,80,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,70201,2,2,86,206,43,43,43.0,0.0,103,103,103.0,0.0,4159.484908,56.97924531,23400.33333,40526.23615,70196,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,28.48962265,28.48962265,43,103,67.0,32.86335345,1080.0,0,0,0,0,0,0,0,0,1,83.75,43.0,103.0,64,0,0,0,0,0,0,2,86,2,206,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,158,2,2,102,134,51,51,51.0,0.0,67,67,67.0,0.0,1493670.886,25316.4557,52.66666667,51.15988011,106,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,12658.22785,12658.22785,51,67,57.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,71.75,51.0,67.0,40,0,0,0,0,0,0,2,102,2,134,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60282,1,1,61,111,61,61,61.0,0.0,111,111,111.0,0.0,2853.256362,33.17739956,60282.0,0.0,60282,60282,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,32,16.58869978,16.58869978,61,111,77.66666667,28.86751346,833.3333333,0,0,0,0,0,0,0,0,1,116.5,61.0,111.0,44,0,0,0,0,0,0,1,61,1,111,-1,-1,0,44,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,62237756,87,118,10364,52281,807,0,119.1264368,208.4972146,1914,0,443.059322,633.9597481,1006.543359,3.293820555,305087.0392,4076791.599,58200000,2,62200000,723694.8372,6284432.03,58300000,3,62200000,531270.5556,5385401.342,58300000,2,0,0,0,0,2792,3784,1.397865309,1.895955246,0,1914,304.1019417,523.1664328,273703.1164,0,0,0,1,0,0,0,0,1,305.5853659,119.1264368,443.059322,2792,0,0,0,0,0,0,87,10364,118,52281,29200,569,45,32,3912580.0,0.0,3912580,3912580,58200000.0,0.0,58200000,58200000,BENIGN
53,48021,2,2,78,110,39,39,39.0,0.0,55,55,55.0,0.0,3914.953874,83.29689094,16007.0,27720.60715,48016,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,0,0,0,0,64,64,41.64844547,41.64844547,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39.0,55.0,64,0,0,0,0,0,0,2,78,2,110,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,82315,2,2,92,138,46,46,46.0,0.0,69,69,69.0,0.0,2794.144445,48.59381644,27438.33333,47521.12332,82311,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,40,24.29690822,24.29690822,46,69,55.2,12.59761882,158.7,0,0,0,0,0,0,0,0,1,69.0,46.0,69.0,40,0,0,0,0,0,0,2,92,2,138,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,177,2,2,86,208,43,43,43.0,0.0,104,104,104.0,0.0,1661016.949,22598.87006,59.0,96.13012015,170,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,11299.43503,11299.43503,43,104,67.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,84.25,43.0,104.0,40,0,0,0,0,0,0,2,86,2,208,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,42574811,19,11,2880,5145,709,0,151.5789474,247.9158271,1786,0,467.7272727,708.5924204,188.4917352,0.704642001,1468096.931,6998714.211,37800000,1,42600000,2365267.278,8856038.056,37800000,1,4713261,471326.1,874744.51,2770724,50,0,0,0,0,620,360,0.446273267,0.258368734,0,1786,258.8709677,479.3369547,229763.9161,0,0,0,1,0,0,0,0,0,267.5,151.5789474,467.7272727,620,0,0,0,0,0,0,19,2880,11,5145,65535,143,9,32,4815926.0,0.0,4815926,4815926,37800000.0,0.0,37800000,37800000,BENIGN
53,31096,4,2,180,146,45,45,45.0,0.0,73,73,73.0,0.0,10483.66349,192.9508618,6219.2,13418.22724,30213,3,30220,10073.33333,17441.46296,30213,3,3,3.0,0.0,3,3,0,0,0,0,104,40,128.6339079,64.31695395,45,73,53.0,13.66260102,186.6666667,0,0,0,0,0,0,0,0,0,61.83333333,45.0,73.0,104,0,0,0,0,0,0,4,180,2,146,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51404,55,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18181.81818,18181.81818,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,382,427,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,46649,4,2,140,146,35,35,35.0,0.0,73,73,73.0,0.0,6130.892409,128.6201205,9329.8,13877.61749,30999,3,31005,10335.0,17895.54894,30999,3,3,3.0,0.0,3,3,0,0,0,0,80,40,85.74674698,42.87337349,35,73,45.85714286,18.54210139,343.8095238,0,0,0,0,0,0,0,0,0,53.5,35.0,73.0,80,0,0,0,0,0,0,4,140,2,146,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,65535,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31426,2,2,68,228,34,34,34.0,0.0,114,114,114.0,0.0,9418.95246,127.2831413,10475.33333,18138.61341,31420,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,63.64157067,63.64157067,34,114,66.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,82.5,34.0,114.0,40,0,0,0,0,0,0,2,68,2,228,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
35980,53,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,226415.0943,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,18867.92453,18867.92453,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,5804,29200,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2007623,7,6,1603,1086,1035,0,229.0,402.911901,949,0,181.0,380.2115201,1339.394896,6.47531932,167301.9167,563514.7603,1956395,50,51228,8538.0,15201.07887,38306,138,2007343,401468.6,889451.4283,1992546,452,0,0,0,0,232,200,3.486710403,2.988608917,0,1035,192.0714286,366.2706994,134154.2253,0,0,0,1,0,0,0,0,0,206.8461538,229.0,181.0,232,0,0,0,0,0,0,7,1603,6,1086,29200,8,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,201,2,2,74,202,37,37,37.0,0.0,101,101,101.0,0.0,1373134.328,19900.49751,67.0,76.0,151,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,0,0,64,64,9950.248756,9950.248756,37,101,62.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,78.25,37.0,101.0,64,0,0,0,0,0,0,2,74,2,202,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115149818,57,68,460,86064,460,0,8.070175439,60.92848842,2896,0,1265.647059,734.4949684,751.4037061,1.085542315,928627.5645,2875962.056,10000000,17,115000000,2056246.75,4024188.218,10000000,43,110000000,1645395.851,3738164.836,10000000,48,0,0,0,0,1832,2184,0.495007296,0.590535019,0,2896,686.6984127,828.8194329,686941.6523,0,0,0,1,0,0,0,0,1,692.192,8.070175439,1265.647059,1832,0,0,0,0,0,0,57,460,68,86064,29200,59,1,32,20456.90909,17761.41222,74009,14978,10000000.0,3897.485894,10000000,9996982,BENIGN
443,32308,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,185.712517,61.90417234,32308.0,0.0,32308,32308,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,30.95208617,30.95208617,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
